sku,visibility,price,special_price,errors
KAN-AP-20S40-2,"Not Visible Individually",4500,2700,
KAN-AP-20S40-3,"Not Visible Individually",4500,2700,
KAN-AP-20S41-1,"Not Visible Individually",8700,4350,
KAN-AP-20S41-2,"Not Visible Individually",8700,4350,
KAN-AP-20S41-3,"Not Visible Individually",8700,4350,
KAN-AP-20S42-1,"Not Visible Individually",9700,5820,
KAN-AP-20S42-2,"Not Visible Individually",9700,5820,
KAN-AP-20S42-3,"Not Visible Individually",9700,5820,
KAN-AP-20S43-1,"Not Visible Individually",7600,3800,
KAN-AP-20S43-2,"Not Visible Individually",7600,3800,
KAN-AP-20S43-3,"Not Visible Individually",7600,3800,
KAN-AP-20S44-1,"Not Visible Individually",5500,3300,
KAN-AP-20S44-2,"Not Visible Individually",5500,3300,
KAN-AP-20S44-3,"Not Visible Individually",5500,3300,
KAN-AP-20S47-1,"Not Visible Individually",6200,3720,
KAN-AP-20S47-2,"Not Visible Individually",6200,3720,
KAN-AP-20S47-3,"Not Visible Individually",6200,3720,
KAN-AP-20S49-1,"Not Visible Individually",5400,3240,
KAN-AP-20S49-2,"Not Visible Individually",5400,3240,
KAN-AP-20S49-3,"Not Visible Individually",5400,3240,
KAN-AP-20S51-1,"Not Visible Individually",6800,3400,
KAN-AP-20S51-2,"Not Visible Individually",6800,3400,
KAN-AP-20S51-3,"Not Visible Individually",6800,3400,
KAN-AP-20RC01-1,"Not Visible Individually",4500,2250,
KAN-AP-20RC01-2,"Not Visible Individually",4500,2250,
KAN-AP-20RC04-1,"Not Visible Individually",4800,2400,
KAN-AP-20RC04-2,"Not Visible Individually",4800,2400,
KAN-AP-20RC05-1,"Not Visible Individually",3800,1900,
KAN-AP-20RC05-2,"Not Visible Individually",3800,1900,
KAN-AP-20RC31-1,"Not Visible Individually",6500,3250,
KAN-AP-20RC31-2,"Not Visible Individually",6500,3250,
KAN-AP-20PF02-1,"Not Visible Individually",4800,2400,
KAN-AP-20PF02-2,"Not Visible Individually",4800,2400,
KAN-AP-20PF02-3,"Not Visible Individually",4800,2400,
KAN-AP-20PF03-1,"Not Visible Individually",5200,2600,
KAN-AP-20PF03-2,"Not Visible Individually",5200,2600,
KAN-AP-20PF03-3,"Not Visible Individually",5200,2600,
KAN-AP-20PF04-1,"Not Visible Individually",7300,3650,
KAN-AP-20PF04-2,"Not Visible Individually",7300,3650,
KAN-AP-20PF05-1,"Not Visible Individually",12300,6150,
KAN-AP-20PF05-2,"Not Visible Individually",12300,6150,
KAN-AP-20PF06-1,"Not Visible Individually",7800,3900,
