Processed,base_image,small_image,thumbnail_image,additional_images
KAN-AP-20S19,20S19 KANELLE_WOMENS TOP (2).jpg,20S19 KANELLE_WOMENS TOP (2).jpg,20S19 KANELLE_WOMENS TOP (2).jpg,"20S19 KANELLE_WOMENS TOP (1).jpg,20S19 KANELLE_WOMENS TOP (3).jpg,20S19 KANELLE_WOMENS TOP (4).jpg"
KAN-AP-20S20,20S20 KANELLE_WOMENS TOP (2).jpg,20S20 KANELLE_WOMENS TOP (2).jpg,20S20 KANELLE_WOMENS TOP (2).jpg,"20S20 KANELLE_WOMENS TOP (1).jpg,20S20 KANELLE_WOMENS TOP (3).jpg,20S20 KANELLE_WOMENS TOP (4).jpg"
KAN-AP-20S23,20S23 KANELLE_WOMENS TOP (2).jpg,20S23 KANELLE_WOMENS TOP (2).jpg,20S23 KANELLE_WOMENS TOP (2).jpg,"20S23 KANELLE_WOMENS TOP (3).jpg,20S23 KANELLE_WOMENS TOP (4).jpg,20S23 KANELLE_WOMENS TOP (5).jpg"
KAN-AP-20S25,20S25 KANELLE_WOMENS TOP (2).jpg,20S25 KANELLE_WOMENS TOP (2).jpg,20S25 KANELLE_WOMENS TOP (2).jpg,"20S25 KANELLE_WOMENS TOP (1).jpg,20S25 KANELLE_WOMENS TOP (3).jpg,20S25 KANELLE_WOMENS TOP (4).jpg"
KAN-AP-20S27,20S27 KANELLE_WOMENS PANTS (3).jpg,20S27 KANELLE_WOMENS PANTS (3).jpg,20S27 KANELLE_WOMENS PANTS (3).jpg,"20S27 KANELLE_WOMENS  PANTS (1).jpg,20S27 KANELLE_WOMENS PANTS (2).jpg,20S27 KANELLE_WOMENS PANTS (4).jpg"
KAN-AP-20S28,20S28 KANELLE_WOMENS  PANTS (2).jpg,20S28 KANELLE_WOMENS  PANTS (2).jpg,20S28 KANELLE_WOMENS  PANTS (2).jpg,"20S28 KANELLE_WOMENS  PANTS (1).jpg,20S28 KANELLE_WOMENS  PANTS (3).jpg,20S28 KANELLE_WOMENS  PANTS (4).jpg"
KAN-AP-20S29,20S29 KANELLE_WOMENS  PANTS (4).jpg,20S29 KANELLE_WOMENS  PANTS (4).jpg,20S29 KANELLE_WOMENS  PANTS (4).jpg,"20S29 KANELLE_WOMENS  PANTS (1).jpg,20S29 KANELLE_WOMENS  PANTS (2).jpg,20S29 KANELLE_WOMENS  PANTS (3).jpg"
KAN-AP-20S32,20S32 KANELLE_WOMENS COAT (1).jpg,20S32 KANELLE_WOMENS COAT (1).jpg,20S32 KANELLE_WOMENS COAT (1).jpg,"20S32 KANELLE_WOMENS COAT (2).jpg,20S32 KANELLE_WOMENS COAT (3).jpg"
KAN-AP-20S33,20S33 KANELLE_WOMENS COAT (1).jpg,20S33 KANELLE_WOMENS COAT (1).jpg,20S33 KANELLE_WOMENS COAT (1).jpg,"20S33 KANELLE_WOMENS COAT (2).jpg,20S33 KANELLE_WOMENS COAT (3).jpg,20S33 KANELLE_WOMENS COAT (4).jpg"
KAN-AP-20S36,20S36 KANELLE_WOMENS DRESS (1).jpg,20S36 KANELLE_WOMENS DRESS (1).jpg,20S36 KANELLE_WOMENS DRESS (1).jpg,"20S36 KANELLE_WOMENS DRESS (2).jpg,20S36 KANELLE_WOMENS DRESS (3).jpg,20S36 KANELLE_WOMENS DRESS (4).jpg"
KAN-AP-20S37,20S37 KANELLE_WOMENS TOP (2).jpg,20S37 KANELLE_WOMENS TOP (2).jpg,20S37 KANELLE_WOMENS TOP (2).jpg,"20S37 KANELLE_WOMENS TOP (1).jpg,20S37 KANELLE_WOMENS TOP (3).jpg,20S37 KANELLE_WOMENS TOP (4).jpg"
KAN-AP-20S38,20S38 KANELLE_WOMENS DRESS (1).jpg,20S38 KANELLE_WOMENS DRESS (1).jpg,20S38 KANELLE_WOMENS DRESS (1).jpg,"20S38 KANELLE_WOMENS DRESS (2).jpg,20S38 KANELLE_WOMENS DRESS (3).jpg,20S38 KANELLE_WOMENS DRESS (4).jpg"
KAN-AP-20S39,20S39 KANELLE_WOMENS DRESS (1).jpg,20S39 KANELLE_WOMENS DRESS (1).jpg,20S39 KANELLE_WOMENS DRESS (1).jpg,"20S39 KANELLE_WOMENS DRESS (2).jpg,20S39 KANELLE_WOMENS DRESS (3).jpg,20S39 KANELLE_WOMENS DRESS (4).jpg"
KAN-AP-20S40,20S40 KANELLE_WOMENS TOP (1).jpg,20S40 KANELLE_WOMENS TOP (1).jpg,20S40 KANELLE_WOMENS TOP (1).jpg,"20S40 KANELLE_WOMENS TOP (2).jpg,20S40 KANELLE_WOMENS TOP (3).jpg,20S40 KANELLE_WOMENS TOP (4).jpg"
KAN-AP-20S41,20S41 KANELLE_WOMENS DRESS (1).jpg,20S41 KANELLE_WOMENS DRESS (1).jpg,20S41 KANELLE_WOMENS DRESS (1).jpg,20S41 KANELLE_WOMENS DRESS (2).jpg
KAN-AP-20S42,20S42 KANELLE_WOMENS DRESS (1).jpg,20S42 KANELLE_WOMENS DRESS (1).jpg,20S42 KANELLE_WOMENS DRESS (1).jpg,"20S42 KANELLE_WOMENS DRESS (2).jpg,20S42 KANELLE_WOMENS DRESS (3).jpg,20S42 KANELLE_WOMENS DRESS (4).jpg"
KAN-AP-20S43,20S43 KANELLE_WOMENS TOP (1).jpg,20S43 KANELLE_WOMENS TOP (1).jpg,20S43 KANELLE_WOMENS TOP (1).jpg,"20S43 KANELLE_WOMENS TOP (2).jpg,20S43 KANELLE_WOMENS TOP (3).jpg,20S43 KANELLE_WOMENS TOP (4).jpg"
KAN-AP-20S44,20S44 KANELLE_WOMENS  PANTS (2).jpg,20S44 KANELLE_WOMENS  PANTS (2).jpg,20S44 KANELLE_WOMENS  PANTS (2).jpg,"20S44 KANELLE_WOMENS  PANTS (1).jpg,20S44 KANELLE_WOMENS  PANTS (3).jpg,20S44 KANELLE_WOMENS  PANTS (4).jpg"
