sku,visibility,errors
KAN-AP-20PF22-1,"Not Visible Individually",
KAN-AP-20PF22-2,"Not Visible Individually",
KAN-AP-20PF22-3,"Not Visible Individually",
KAN-AP-20PF23-1,"Not Visible Individually",
KAN-AP-20PF23-2,"Not Visible Individually",
KAN-AP-20PF24-1,"Not Visible Individually",
KAN-AP-20PF24-3,"Not Visible Individually",
KAN-AP-20PF25-1,"Not Visible Individually",
KAN-AP-20PF25-2,"Not Visible Individually",
KAN-AP-20PF26-1,"Not Visible Individually",
KAN-AP-20PF26-2,"Not Visible Individually",
KAN-AP-20PF27-1,"Not Visible Individually",
KAN-AP-20PF27-2,"Not Visible Individually",
KAN-AP-20PF27-3,"Not Visible Individually",
KAN-AP-20PF28-1,"Not Visible Individually",
KAN-AP-20PF28-2,"Not Visible Individually",
KAN-AP-20PF28-3,"Not Visible Individually",
KAN-AP-20PF29-1,"Not Visible Individually",
KAN-AP-20PF29-2,"Not Visible Individually",
KAN-AP-20PF29-3,"Not Visible Individually",
KAN-AP-20S08-1,"Not Visible Individually",
KAN-AP-20S08-2,"Not Visible Individually",
KAN-AP-20S08-3,"Not Visible Individually",
KAN-AP-20S08-4,"Not Visible Individually",
KAN-AP-20S08-5,"Not Visible Individually",
KAN-AP-20S08-6,"Not Visible Individually",
