sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,display_product_options_in,map_price,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,is_in_stock,website_id,color,size
KAN-AP-21S09_1,Default,simple,Default Category/Shop/Dresses,base,ARIA SCHIFFLI DRESS_XL,"Multi panel dress with attached tie up belt detail. Schiffle emrboidery in two-tone. Has a zip opening at the back.
-Poplin - Sleeveless 
-True to size -Made in India 

Wash Care: This product is delicate to Dry Clean Only.

Model is 5'9"" and is wearing a Small size. Dress length is 48""/122cms.

Shipping: This product is expected to be shipped within 10-12 days.",Multi panel dress with tie-up belt at waist and twon tone schiffli embroidery.,1,1,Taxable Goods,Not Visible Individually,10500,,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",2,1,0,1,Green,XL
KAN-AP-21S10_5,Default,simple,Default Category/Shop/Dresses,base,NAYA SCHIFFLI DRESS_XS,"Bottom frill slip dress with two-tone schiffli embroidery. Comes with a handmade braided belt. Lining is attached.
-Linen -Sleeveless -Relaxed Fit -Made in India 

Wash Care: This product is delicate to Dry Clean Only.

Model is 5'9"" and is wearing a Small size. Dress length is 38""/96.5cms.

Shipping: This product is expected to be shipped within 10-12 days.",Bottom frill slip dress with two- tone schiffli embroidery and tie up belt.,1,1,Taxable Goods,Not Visible Individually,9700,,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",2,1,0,1,Olive,XS
KAN-AP-21S10_4,Default,simple,Default Category/Shop/Dresses,base,NAYA SCHIFFLI DRESS_S,"Bottom frill slip dress with two-tone schiffli embroidery. Comes with a handmade braided belt. Lining is attached.
-Linen -Sleeveless -Relaxed Fit -Made in India 

Wash Care: This product is delicate to Dry Clean Only.

Model is 5'9"" and is wearing a Small size. Dress length is 38""/96.5cms.

Shipping: This product is expected to be shipped within 10-12 days.",Bottom frill slip dress with two- tone schiffli embroidery and tie up belt.,1,1,Taxable Goods,Not Visible Individually,9700,,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",3,1,0,1,Olive,S
KAN-AP-21S10_3,Default,simple,Default Category/Shop/Dresses,base,NAYA SCHIFFLI DRESS_M,"Bottom frill slip dress with two-tone schiffli embroidery. Comes with a handmade braided belt. Lining is attached.
-Linen -Sleeveless -Relaxed Fit -Made in India 

Wash Care: This product is delicate to Dry Clean Only.

Model is 5'9"" and is wearing a Small size. Dress length is 38""/96.5cms.

Shipping: This product is expected to be shipped within 10-12 days.",Bottom frill slip dress with two- tone schiffli embroidery and tie up belt.,1,1,Taxable Goods,Not Visible Individually,9700,,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",5,1,0,1,Olive,M
KAN-AP-21S10_2,Default,simple,Default Category/Shop/Dresses,base,NAYA SCHIFFLI DRESS_L,"Bottom frill slip dress with two-tone schiffli embroidery. Comes with a handmade braided belt. Lining is attached.
-Linen -Sleeveless -Relaxed Fit -Made in India 

Wash Care: This product is delicate to Dry Clean Only.

Model is 5'9"" and is wearing a Small size. Dress length is 38""/96.5cms.

Shipping: This product is expected to be shipped within 10-12 days.",Bottom frill slip dress with two- tone schiffli embroidery and tie up belt.,1,1,Taxable Goods,Not Visible Individually,9700,,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",3,1,0,1,Olive,L
KAN-AP-21S10_1,Default,simple,Default Category/Shop/Dresses,base,NAYA SCHIFFLI DRESS_XL,"Bottom frill slip dress with two-tone schiffli embroidery. Comes with a handmade braided belt. Lining is attached.
-Linen -Sleeveless -Relaxed Fit -Made in India 

Wash Care: This product is delicate to Dry Clean Only.
