sku,is_in_stock,categories,errors
KAN-AP-21S61,1,"Default Category/Shop/Bottoms|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S64,1,"Default Category/Shop/Saree|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S65,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-20FW01,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing",
KAN-AP-20FW02,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing",
KAN-AP-20FW03,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing",
KAN-AP-20FW04,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing",
KAN-AP-20FW05,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing",
KAN-AP-20FW06,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing",
KAN-AP-20FW07,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing",
KAN-AP-20FW08,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing",
KAN-AP-20FW09,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing",
KAN-AP-20FW10,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing",
KAN-AP-20FW11,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing",
KAN-AP-20FW12,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing",
KAN-AP-20FW13,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing",
KAN-AP-20FW14,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing",
KAN-AP-20FW15,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing",
KAN-AP-20FW16,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing",
KAN-AP-20FW17,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing",
KAN-AP-20FW18,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing",
KAN-AP-20FW19,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing",
KAN-AP-20FW20,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing",
KAN-AP-20FW21,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing",
KAN-AP-20FW22,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing",
KAN-AP-20FW23,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing",
KAN-AP-20FW24,1,"Default Category/Shop/Bottoms|Default Category/Shop/All Clothing",
KAN-AP-20FW25,1,"Default Category/Shop/Co-Ords|Default Category/Shop/All Clothing",
KAN-AP-20FW26,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing",
KAN-AP-20FW27,1,"Default Category/Shop/Bottoms|Default Category/Shop/All Clothing",
KAN-AP-20FW28,1,"Default Category/Shop/Co-Ords|Default Category/Shop/All Clothing",
KAN-AP-20FW33,1,"Default Category/Shop/Bottoms|Default Category/Shop/All Clothing","Product Type is invalid or not supported"
KAN-AP-20FW34,1,"Default Category/Shop/Co-Ords|Default Category/Shop/All Clothing",
KAN-AP-20FW35,1,"Default Category/Shop/Bottoms|Default Category/Shop/All Clothing",
KAN-AP-20FW36,1,"Default Category/Shop/Outerwear|Default Category/Shop/All Clothing",
KAN-AP-20FW37,1,"Default Category/Shop/Outerwear|Default Category/Shop/All Clothing",
KAN-AP-20FW38,1,"Default Category/Shop/Outerwear|Default Category/Shop/All Clothing",
